time_id,date,hour,day,day_of_week,month,year
2019022414,2019-02-24,14,24,Sunday,2,2019
2019022413,2019-02-24,13,24,Sunday,2,2019
2019022412,2019-02-24,12,24,Sunday,2,2019
2019022411,2019-02-24,11,24,Sunday,2,2019
2019022410,2019-02-24,10,24,Sunday,2,2019
2019022409,2019-02-24,9,24,Sunday,2,2019
2019022408,2019-02-24,8,24,Sunday,2,2019
2019022407,2019-02-24,7,24,Sunday,2,2019
2019022406,2019-02-24,6,24,Sunday,2,2019
2019022405,2019-02-24,5,24,Sunday,2,2019
2019022404,2019-02-24,4,24,Sunday,2,2019
2019022403,2019-02-24,3,24,Sunday,2,2019
2019022402,2019-02-24,2,24,Sunday,2,2019
2019022401,2019-02-24,1,24,Sunday,2,2019
2019022400,2019-02-24,0,24,Sunday,2,2019
2019022323,2019-02-23,23,23,Saturday,2,2019
2019022322,2019-02-23,22,23,Saturday,2,2019
2019022321,2019-02-23,21,23,Saturday,2,2019
2019022320,2019-02-23,20,23,Saturday,2,2019
2019022319,2019-02-23,19,23,Saturday,2,2019
2019022318,2019-02-23,18,23,Saturday,2,2019
2019022317,2019-02-23,17,23,Saturday,2,2019
2019022316,2019-02-23,16,23,Saturday,2,2019
2019022315,2019-02-23,15,23,Saturday,2,2019
2019022314,2019-02-23,14,23,Saturday,2,2019
2019022313,2019-02-23,13,23,Saturday,2,2019
2019022312,2019-02-23,12,23,Saturday,2,2019
2019022311,2019-02-23,11,23,Saturday,2,2019
2019022310,2019-02-23,10,23,Saturday,2,2019
2019022309,2019-02-23,9,23,Saturday,2,2019
2019022308,2019-02-23,8,23,Saturday,2,2019
2019022307,2019-02-23,7,23,Saturday,2,2019
2019022306,2019-02-23,6,23,Saturday,2,2019
2019022305,2019-02-23,5,23,Saturday,2,2019
2019022304,2019-02-23,4,23,Saturday,2,2019
2019022303,2019-02-23,3,23,Saturday,2,2019
2019022302,2019-02-23,2,23,Saturday,2,2019
2019022301,2019-02-23,1,23,Saturday,2,2019
2019022300,2019-02-23,0,23,Saturday,2,2019
2019022223,2019-02-22,23,22,Friday,2,2019
2019022222,2019-02-22,22,22,Friday,2,2019
2019022221,2019-02-22,21,22,Friday,2,2019
2019022220,2019-02-22,20,22,Friday,2,2019
2019022219,2019-02-22,19,22,Friday,2,2019
2019022218,2019-02-22,18,22,Friday,2,2019
2019022217,2019-02-22,17,22,Friday,2,2019
2019022216,2019-02-22,16,22,Friday,2,2019
2019022215,2019-02-22,15,22,Friday,2,2019
2019022214,2019-02-22,14,22,Friday,2,2019
2019022213,2019-02-22,13,22,Friday,2,2019
2019022212,2019-02-22,12,22,Friday,2,2019
2019022211,2019-02-22,11,22,Friday,2,2019
2019022210,2019-02-22,10,22,Friday,2,2019
2019022209,2019-02-22,9,22,Friday,2,2019
2019022208,2019-02-22,8,22,Friday,2,2019
2019022207,2019-02-22,7,22,Friday,2,2019
2019022206,2019-02-22,6,22,Friday,2,2019
2019022205,2019-02-22,5,22,Friday,2,2019
2019022204,2019-02-22,4,22,Friday,2,2019
2019022203,2019-02-22,3,22,Friday,2,2019
2019022201,2019-02-22,1,22,Friday,2,2019
2019022202,2019-02-22,2,22,Friday,2,2019
2019022200,2019-02-22,0,22,Friday,2,2019
2019022123,2019-02-21,23,21,Thursday,2,2019
2019022122,2019-02-21,22,21,Thursday,2,2019
2019022121,2019-02-21,21,21,Thursday,2,2019
2019022120,2019-02-21,20,21,Thursday,2,2019
2019022118,2019-02-21,18,21,Thursday,2,2019
2019022119,2019-02-21,19,21,Thursday,2,2019
2019022117,2019-02-21,17,21,Thursday,2,2019
2019022116,2019-02-21,16,21,Thursday,2,2019
2019022115,2019-02-21,15,21,Thursday,2,2019
2019022114,2019-02-21,14,21,Thursday,2,2019
2019022113,2019-02-21,13,21,Thursday,2,2019
2019022112,2019-02-21,12,21,Thursday,2,2019
2019022111,2019-02-21,11,21,Thursday,2,2019
2019022110,2019-02-21,10,21,Thursday,2,2019
2019022109,2019-02-21,9,21,Thursday,2,2019
2019022108,2019-02-21,8,21,Thursday,2,2019
2019022107,2019-02-21,7,21,Thursday,2,2019
2019022106,2019-02-21,6,21,Thursday,2,2019
2019022105,2019-02-21,5,21,Thursday,2,2019
2019022104,2019-02-21,4,21,Thursday,2,2019
2019022103,2019-02-21,3,21,Thursday,2,2019
2019022102,2019-02-21,2,21,Thursday,2,2019
2019022101,2019-02-21,1,21,Thursday,2,2019
2019022100,2019-02-21,0,21,Thursday,2,2019
2019022023,2019-02-20,23,20,Wednesday,2,2019
2019022022,2019-02-20,22,20,Wednesday,2,2019
2019022021,2019-02-20,21,20,Wednesday,2,2019
2019022020,2019-02-20,20,20,Wednesday,2,2019
2019022019,2019-02-20,19,20,Wednesday,2,2019
2019022018,2019-02-20,18,20,Wednesday,2,2019
2019022017,2019-02-20,17,20,Wednesday,2,2019
2019022016,2019-02-20,16,20,Wednesday,2,2019
2019022015,2019-02-20,15,20,Wednesday,2,2019
2019022014,2019-02-20,14,20,Wednesday,2,2019
2019022013,2019-02-20,13,20,Wednesday,2,2019
2019022012,2019-02-20,12,20,Wednesday,2,2019
2019022011,2019-02-20,11,20,Wednesday,2,2019
2019022010,2019-02-20,10,20,Wednesday,2,2019
2019022009,2019-02-20,9,20,Wednesday,2,2019
2019022008,2019-02-20,8,20,Wednesday,2,2019
2019022007,2019-02-20,7,20,Wednesday,2,2019
2019022006,2019-02-20,6,20,Wednesday,2,2019
2019022005,2019-02-20,5,20,Wednesday,2,2019
2019022004,2019-02-20,4,20,Wednesday,2,2019
2019022003,2019-02-20,3,20,Wednesday,2,2019
2019022002,2019-02-20,2,20,Wednesday,2,2019
2019022001,2019-02-20,1,20,Wednesday,2,2019
2019022000,2019-02-20,0,20,Wednesday,2,2019
2019021923,2019-02-19,23,19,Tuesday,2,2019
2019021922,2019-02-19,22,19,Tuesday,2,2019
2019021921,2019-02-19,21,19,Tuesday,2,2019
2019021920,2019-02-19,20,19,Tuesday,2,2019
2019021919,2019-02-19,19,19,Tuesday,2,2019
2019021918,2019-02-19,18,19,Tuesday,2,2019
2019021917,2019-02-19,17,19,Tuesday,2,2019
2019021916,2019-02-19,16,19,Tuesday,2,2019
2019021915,2019-02-19,15,19,Tuesday,2,2019
2019021914,2019-02-19,14,19,Tuesday,2,2019
2019021913,2019-02-19,13,19,Tuesday,2,2019
2019021912,2019-02-19,12,19,Tuesday,2,2019
2019021911,2019-02-19,11,19,Tuesday,2,2019
2019021910,2019-02-19,10,19,Tuesday,2,2019
2019021909,2019-02-19,9,19,Tuesday,2,2019
2019021908,2019-02-19,8,19,Tuesday,2,2019
2019021907,2019-02-19,7,19,Tuesday,2,2019
2019021906,2019-02-19,6,19,Tuesday,2,2019
2019021905,2019-02-19,5,19,Tuesday,2,2019
2019021904,2019-02-19,4,19,Tuesday,2,2019
2019021903,2019-02-19,3,19,Tuesday,2,2019
2019021902,2019-02-19,2,19,Tuesday,2,2019
2019021901,2019-02-19,1,19,Tuesday,2,2019
2019021900,2019-02-19,0,19,Tuesday,2,2019
2019021823,2019-02-18,23,18,Monday,2,2019
2019021822,2019-02-18,22,18,Monday,2,2019
2019021821,2019-02-18,21,18,Monday,2,2019
2019021820,2019-02-18,20,18,Monday,2,2019
2019021819,2019-02-18,19,18,Monday,2,2019
2019021818,2019-02-18,18,18,Monday,2,2019
2019021817,2019-02-18,17,18,Monday,2,2019
2019021816,2019-02-18,16,18,Monday,2,2019
2019021815,2019-02-18,15,18,Monday,2,2019
2019021814,2019-02-18,14,18,Monday,2,2019
2019021813,2019-02-18,13,18,Monday,2,2019
2019021812,2019-02-18,12,18,Monday,2,2019
2019021811,2019-02-18,11,18,Monday,2,2019
2019021810,2019-02-18,10,18,Monday,2,2019
2019021809,2019-02-18,9,18,Monday,2,2019
2019021808,2019-02-18,8,18,Monday,2,2019
2019021807,2019-02-18,7,18,Monday,2,2019
2019021806,2019-02-18,6,18,Monday,2,2019
2019021805,2019-02-18,5,18,Monday,2,2019
2019021804,2019-02-18,4,18,Monday,2,2019
2019021803,2019-02-18,3,18,Monday,2,2019
2019021802,2019-02-18,2,18,Monday,2,2019
2019021801,2019-02-18,1,18,Monday,2,2019
2019021800,2019-02-18,0,18,Monday,2,2019
2019021723,2019-02-17,23,17,Sunday,2,2019
2019021722,2019-02-17,22,17,Sunday,2,2019
2019021721,2019-02-17,21,17,Sunday,2,2019
2019021720,2019-02-17,20,17,Sunday,2,2019
2019021719,2019-02-17,19,17,Sunday,2,2019
2019021718,2019-02-17,18,17,Sunday,2,2019
2019021717,2019-02-17,17,17,Sunday,2,2019
2019021716,2019-02-17,16,17,Sunday,2,2019
2019021715,2019-02-17,15,17,Sunday,2,2019
2019021714,2019-02-17,14,17,Sunday,2,2019
2019021713,2019-02-17,13,17,Sunday,2,2019
2019021712,2019-02-17,12,17,Sunday,2,2019
2019021711,2019-02-17,11,17,Sunday,2,2019
2019021710,2019-02-17,10,17,Sunday,2,2019
2019021709,2019-02-17,9,17,Sunday,2,2019
2019021708,2019-02-17,8,17,Sunday,2,2019
2019021707,2019-02-17,7,17,Sunday,2,2019
2019021706,2019-02-17,6,17,Sunday,2,2019
2019021705,2019-02-17,5,17,Sunday,2,2019
2019021704,2019-02-17,4,17,Sunday,2,2019
2019021703,2019-02-17,3,17,Sunday,2,2019
2019021702,2019-02-17,2,17,Sunday,2,2019
2019021701,2019-02-17,1,17,Sunday,2,2019
2019021700,2019-02-17,0,17,Sunday,2,2019
2019021623,2019-02-16,23,16,Saturday,2,2019
2019021622,2019-02-16,22,16,Saturday,2,2019
2019021621,2019-02-16,21,16,Saturday,2,2019
2019021620,2019-02-16,20,16,Saturday,2,2019
2019021619,2019-02-16,19,16,Saturday,2,2019
2019021618,2019-02-16,18,16,Saturday,2,2019
2019021617,2019-02-16,17,16,Saturday,2,2019
2019021616,2019-02-16,16,16,Saturday,2,2019
2019021615,2019-02-16,15,16,Saturday,2,2019
2019021614,2019-02-16,14,16,Saturday,2,2019
2019021613,2019-02-16,13,16,Saturday,2,2019
2019021612,2019-02-16,12,16,Saturday,2,2019
2019021611,2019-02-16,11,16,Saturday,2,2019
2019021610,2019-02-16,10,16,Saturday,2,2019
2019021609,2019-02-16,9,16,Saturday,2,2019
2019021608,2019-02-16,8,16,Saturday,2,2019
2019021607,2019-02-16,7,16,Saturday,2,2019
2019021606,2019-02-16,6,16,Saturday,2,2019
2019021605,2019-02-16,5,16,Saturday,2,2019
2019021604,2019-02-16,4,16,Saturday,2,2019
2019021603,2019-02-16,3,16,Saturday,2,2019
2019021602,2019-02-16,2,16,Saturday,2,2019
2019021601,2019-02-16,1,16,Saturday,2,2019
2019021600,2019-02-16,0,16,Saturday,2,2019
2019021523,2019-02-15,23,15,Friday,2,2019
2019021522,2019-02-15,22,15,Friday,2,2019
2019021521,2019-02-15,21,15,Friday,2,2019
2019021520,2019-02-15,20,15,Friday,2,2019
2019021519,2019-02-15,19,15,Friday,2,2019
2019021517,2019-02-15,17,15,Friday,2,2019
2019021518,2019-02-15,18,15,Friday,2,2019
2019021516,2019-02-15,16,15,Friday,2,2019
2019021515,2019-02-15,15,15,Friday,2,2019
2019021514,2019-02-15,14,15,Friday,2,2019
2019021513,2019-02-15,13,15,Friday,2,2019
2019021512,2019-02-15,12,15,Friday,2,2019
2019021511,2019-02-15,11,15,Friday,2,2019
2019021510,2019-02-15,10,15,Friday,2,2019
2019021509,2019-02-15,9,15,Friday,2,2019
2019021508,2019-02-15,8,15,Friday,2,2019
2019021507,2019-02-15,7,15,Friday,2,2019
2019021506,2019-02-15,6,15,Friday,2,2019
2019021505,2019-02-15,5,15,Friday,2,2019
2019021504,2019-02-15,4,15,Friday,2,2019
2019021503,2019-02-15,3,15,Friday,2,2019
2019021502,2019-02-15,2,15,Friday,2,2019
2019021500,2019-02-15,0,15,Friday,2,2019
2019021501,2019-02-15,1,15,Friday,2,2019
2019021423,2019-02-14,23,14,Thursday,2,2019
2019021422,2019-02-14,22,14,Thursday,2,2019
2019021421,2019-02-14,21,14,Thursday,2,2019
2019021420,2019-02-14,20,14,Thursday,2,2019
2019021419,2019-02-14,19,14,Thursday,2,2019
2019021418,2019-02-14,18,14,Thursday,2,2019
2019021417,2019-02-14,17,14,Thursday,2,2019
2019021416,2019-02-14,16,14,Thursday,2,2019
2019021415,2019-02-14,15,14,Thursday,2,2019
2019021414,2019-02-14,14,14,Thursday,2,2019
2019021413,2019-02-14,13,14,Thursday,2,2019
2019021412,2019-02-14,12,14,Thursday,2,2019
2019021411,2019-02-14,11,14,Thursday,2,2019
2019021410,2019-02-14,10,14,Thursday,2,2019
2019021409,2019-02-14,9,14,Thursday,2,2019
2019021408,2019-02-14,8,14,Thursday,2,2019
2019021407,2019-02-14,7,14,Thursday,2,2019
2019021406,2019-02-14,6,14,Thursday,2,2019
2019021405,2019-02-14,5,14,Thursday,2,2019
2019021404,2019-02-14,4,14,Thursday,2,2019
2019021403,2019-02-14,3,14,Thursday,2,2019
2019021402,2019-02-14,2,14,Thursday,2,2019
2019021401,2019-02-14,1,14,Thursday,2,2019
2019021400,2019-02-14,0,14,Thursday,2,2019
2019021323,2019-02-13,23,13,Wednesday,2,2019
2019021322,2019-02-13,22,13,Wednesday,2,2019
2019021321,2019-02-13,21,13,Wednesday,2,2019
2019021320,2019-02-13,20,13,Wednesday,2,2019
2019021319,2019-02-13,19,13,Wednesday,2,2019
2019021318,2019-02-13,18,13,Wednesday,2,2019
2019021317,2019-02-13,17,13,Wednesday,2,2019
2019021316,2019-02-13,16,13,Wednesday,2,2019
2019021315,2019-02-13,15,13,Wednesday,2,2019
2019021314,2019-02-13,14,13,Wednesday,2,2019
2019021313,2019-02-13,13,13,Wednesday,2,2019
2019021312,2019-02-13,12,13,Wednesday,2,2019
2019021311,2019-02-13,11,13,Wednesday,2,2019
2019021310,2019-02-13,10,13,Wednesday,2,2019
2019021309,2019-02-13,9,13,Wednesday,2,2019
2019021308,2019-02-13,8,13,Wednesday,2,2019
2019021307,2019-02-13,7,13,Wednesday,2,2019
2019021306,2019-02-13,6,13,Wednesday,2,2019
2019021305,2019-02-13,5,13,Wednesday,2,2019
2019021304,2019-02-13,4,13,Wednesday,2,2019
2019021303,2019-02-13,3,13,Wednesday,2,2019
2019021301,2019-02-13,1,13,Wednesday,2,2019
2019021302,2019-02-13,2,13,Wednesday,2,2019
2019021300,2019-02-13,0,13,Wednesday,2,2019
2019021223,2019-02-12,23,12,Tuesday,2,2019
2019021222,2019-02-12,22,12,Tuesday,2,2019
2019021221,2019-02-12,21,12,Tuesday,2,2019
2019021220,2019-02-12,20,12,Tuesday,2,2019
2019021219,2019-02-12,19,12,Tuesday,2,2019
2019021218,2019-02-12,18,12,Tuesday,2,2019
2019021217,2019-02-12,17,12,Tuesday,2,2019
2019021216,2019-02-12,16,12,Tuesday,2,2019
2019021215,2019-02-12,15,12,Tuesday,2,2019
2019021214,2019-02-12,14,12,Tuesday,2,2019
2019021213,2019-02-12,13,12,Tuesday,2,2019
2019021212,2019-02-12,12,12,Tuesday,2,2019
2019021211,2019-02-12,11,12,Tuesday,2,2019
2019021210,2019-02-12,10,12,Tuesday,2,2019
2019021209,2019-02-12,9,12,Tuesday,2,2019
2019021208,2019-02-12,8,12,Tuesday,2,2019
2019021207,2019-02-12,7,12,Tuesday,2,2019
