station_id,station_name,latitude,longitude
17,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086
281,9th St at San Fernando St,37.3383952,-121.8807965
66,3rd St at Townsend St,37.77874161,-122.3927408
76,McCoppin St at Valencia St,37.77166246,-122.4224232
338,13th St at Franklin St,37.80318908,-122.2705793
92,Mission Bay Kids Park,37.77230063,-122.3930275
336,Potrero Ave and Mariposa St,37.76328094,-122.4073774
155,Emeryville Public Market,37.84052117,-122.2935283
235,Union St at 10th St,37.8072393,-122.2893702
339,Jackson St at 11th St,37.80000163,-122.266438
323,Broadway at Kearny,37.79801364,-122.4059504
311,Paseo De San Antonio at 2nd St,37.333798,-121.886943
141,Valencia St at Cesar Chavez St,37.7479981,-122.4202187
171,Rockridge BART Station,37.84427875,-122.2519004
350,8th St at Brannan St,37.77143136,-122.4057868
166,College Ave at Alcatraz Ave,37.8513755,-122.2525233
223,16th St Mission BART Station 2,37.76476522,-122.420091
312,San Jose Diridon Station,37.329732,-121.901782
380,Masonic Ave at Turk St,37.77904666,-122.4472913
110,17th & Folsom Street Park (17th St at Folsom St),37.7637085,-122.4152042
181,Grand Ave at Webster St,37.8113768,-122.2651925
79,7th St at Brannan St,37.7734919,-122.4036725
16,Steuart St at Market St,37.79413,-122.39443
39,Scott St at Golden Gate Ave,37.7789994,-122.4368608
266,Parker St at Fulton St,37.8624644,-122.2647911
246,Berkeley Civic Center,37.8690599,-122.270556
14,Clay St at Battery St,37.795001,-122.39997
88,11th St at Bryant St,37.7700298,-122.4117258
3,Powell St BART Station (Market St at 4th St),37.78637527,-122.4049044
154,Doyle St at 59th St,37.8419238,-122.2880451
215,34th St at Telegraph Ave,37.8225475,-122.2663179
126,Esprit Park,37.7616343,-122.3906477
149,Emeryville Town Hall,37.8312752,-122.2856333
89,Division St at Potrero Ave,37.76921786,-122.4076456
102,Irwin St at 8th St,37.7668828,-122.3995794
294,Pierce Ave at Market St,37.327581,-121.884559
22,Howard St at Beale St,37.789756,-122.394643
202,Washington St at 8th St,37.8007544,-122.2748943
198,Snow Park,37.80781318,-122.2644961
96,Dolores St at 15th St,37.7662102,-122.4266136
256,Hearst Ave at Euclid Ave,37.87511169,-122.2605532
248,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949
60,8th St at Ringold St,37.7745204,-122.4094494
230,14th St at Mandela Pkwy,37.8107432,-122.2914153
277,Morrison Ave at Julian St,37.3336577,-121.9085859
85,Church St at Duboce Ave,37.7700831,-122.4291557
80,Townsend St at 5th St,37.77523487,-122.3974371
134,Valencia St at 24th St,37.7524278,-122.4206278
105,16th St at Prosper St,37.764285,-122.4318042
296,5th St at Virginia St,37.3259984,-121.87712
285,Webster St at O'Farrell St,37.78352084,-122.4311578
158,Shattuck Ave at Telegraph Ave,37.8332786,-122.2634901
304,Jackson St at 5th St,37.34875869,-121.8947978
81,Berry St at 4th St,37.77588,-122.39317
50,2nd St at Townsend St,37.780526,-122.390288
269,Telegraph Ave at Carleton St,37.8623199,-122.258801
268,Ellsworth St at Russell St,37.85749021,-122.2615778
150,Adeline St at 40th St,37.8312769,-122.2782669
195,Bay Pl at Vernon St,37.81231409,-122.2607785
249,Russell St at College Ave,37.8584732,-122.2532529
130,22nd St Caltrain Station,37.75728841,-122.3920512
99,Folsom St at 15th St,37.7670373,-122.4154425
270,Ninth St at Heinz Ave,37.8534894,-122.2894154
101,15th St at Potrero Ave,37.7670785,-122.4073586
355,23rd St at Tennessee St,37.75536713,-122.388795
52,McAllister St at Baker St,37.7774157,-122.4418376
343,Bryant St at 2nd St,37.78317199,-122.393572
116,Mississippi St at 17th St,37.7648022,-122.3947713
305,Ryland Park,37.342725,-121.895617
341,Fountain Alley at S 2nd St,37.3361883,-121.8892765
365,Turk St at Fillmore St,37.78045006,-122.4319464
241,Ashby BART Station,37.8524766,-122.2702132
174,Shattuck Ave at 51st St,37.8368013,-122.2640037
276,Julian St at The Alameda,37.3322326,-121.9125165
381,20th St at Dolores St,37.75823842,-122.4260938
207,Broadway at Coronado Ave,37.8357883,-122.2516207
193,Grand Ave at Santa Clara Ave,37.8127441,-122.2472152
118,Eureka Valley Recreation Center,37.7591769,-122.4369431
51,Parker Ave at McAllister St,37.77610091,-122.4530929
91,Berry St at King St,37.77176211,-122.3984376
